date,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,AQI
2018-01-28,96.912,119.920,41.667,18.621,0.699,27.963,26.155,86.179,5.705,92.765
2018-01-29,89.557,148.816,42.883,14.207,1.311,25.344,34.756,77.175,0.523,98.000
2018-01-30,92.480,145.056,32.715,10.922,0.980,25.915,35.712,77.752,4.616,96.300
2018-01-31,90.446,142.470,50.169,17.430,0.946,44.315,30.228,56.158,3.508,97.998
2018-02-01,110.521,153.530,32.160,24.488,1.723,31.576,37.503,53.193,2.773,107.751
2018-02-02,96.032,129.341,27.058,26.281,1.136,16.114,29.183,41.515,4.368,92.230
2018-02-03,88.111,156.809,43.046,25.939,0.899,26.359,31.726,87.836,5.340,99.708
2018-02-04,103.581,149.156,33.461,15.920,1.092,30.678,34.963,87.564,7.740,103.230
2018-02-05,87.657,137.962,42.570,14.231,0.810,42.918,29.431,74.824,6.748,93.731
2018-02-06,99.513,152.172,20.771,22.483,1.630,37.201,26.803,47.775,5.879,99.562
2018-02-07,82.577,130.234,51.140,23.176,0.991,23.548,26.250,44.711,4.092,90.587
2018-02-08,88.036,133.526,45.378,22.001,1.359,46.928,37.403,89.317,3.441,93.152
2018-02-09,100.638,136.154,27.996,9.930,1.607,29.782,29.767,33.993,0.744,96.764
2018-02-10,105.367,137.412,28.170,15.666,1.050,38.724,30.929,80.614,3.193,99.541
2018-02-11,101.220,132.592,53.378,19.852,1.360,21.915,28.278,51.327,6.863,101.063
2018-02-12,99.308,155.836,34.101,22.436,0.891,13.213,34.589,55.132,3.380,103.225
2018-02-13,98.203,141.458,33.327,23.837,1.934,20.141,29.526,79.919,3.962,98.204
2018-02-14,89.156,148.006,21.872,20.721,1.481,7.248,30.521,35.436,2.539,93.354
2018-02-15,95.591,139.204,37.194,21.654,1.142,44.785,33.015,51.250,2.556,96.996
2018-02-16,98.024,127.122,38.178,20.424,0.968,31.502,29.044,87.121,0.964,94.784
2018-02-17,110.519,148.440,45.724,23.428,1.166,23.527,31.818,71.944,5.104,108.937
2018-02-18,105.158,127.021,28.807,21.564,1.098,33.168,36.676,75.296,3.861,96.447
2018-02-19,88.645,145.854,27.838,20.329,1.786,31.325,33.868,75.450,5.045,93.646
2018-02-20,105.675,133.246,43.608,18.658,0.832,34.347,33.086,33.634,4.602,101.533
2018-02-21,100.328,167.183,48.054,20.406,1.240,38.467,33.448,42.192,6.491,109.930
2018-02-22,98.313,156.797,27.431,22.423,1.194,27.971,31.742,59.476,6.133,101.682
2018-02-23,108.934,149.105,48.652,21.337,1.165,23.841,39.002,52.089,6.286,108.929
2018-02-24,112.594,161.041,40.300,21.904,1.167,35.794,30.679,54.655,4.244,112.669
2018-02-25,112.095,140.289,48.734,26.714,1.165,35.616,33.848,76.887,3.154,107.881
2018-02-26,98.221,154.526,39.438,21.326,1.462,30.705,33.657,30.881,7.501,103.356
2018-02-27,102.745,151.420,19.822,16.755,1.383,45.243,36.432,69.630,0.907,100.763
2018-02-28,108.145,152.384,38.784,24.418,1.326,26.935,36.808,30.007,1.645,107.544
2018-03-01,113.567,162.780,48.481,13.169,0.290,23.701,33.492,33.784,3.647,115.314
2018-03-02,102.190,157.686,32.850,14.593,1.290,32.927,34.547,54.497,5.105,104.971
2018-03-03,104.791,153.543,36.896,21.679,0.703,25.275,34.745,80.457,0.562,105.838
2018-03-04,97.671,134.393,38.591,22.582,1.394,33.469,27.024,38.700,5.895,96.872
2018-03-05,97.190,141.619,16.804,13.775,1.642,24.169,29.153,63.277,4.690,94.441
2018-03-06,113.489,150.260,53.371,18.086,0.922,27.198,32.181,70.710,4.135,112.497
2018-03-07,118.060,152.679,32.789,16.970,1.121,43.236,32.385,43.772,3.676,111.392
2018-03-08,106.848,140.692,44.046,17.567,1.020,27.161,30.543,60.740,4.396,104.441
2018-03-09,115.657,176.351,39.306,24.718,1.571,24.408,36.458,84.684,1.713,118.595
2018-03-10,110.719,167.628,50.061,23.533,1.229,38.195,34.282,60.734,1.315,115.660
2018-03-11,102.854,158.705,43.248,19.904,1.718,22.643,33.694,39.439,2.672,107.688
2018-03-12,111.087,153.615,38.121,17.270,1.324,25.149,30.630,67.669,5.821,109.252
2018-03-13,120.672,150.974,32.852,13.252,1.273,34.036,34.322,65.532,4.912,112.199
2018-03-14,108.245,143.768,46.383,27.101,1.220,36.569,26.631,31.617,4.101,106.529
2018-03-15,121.204,154.243,25.012,22.961,1.445,38.543,34.073,35.436,4.786,111.877
2018-03-16,87.876,156.217,45.167,16.467,0.679,24.769,34.801,39.407,4.694,99.837
2018-03-17,115.547,141.383,31.208,23.598,1.226,34.172,35.383,38.177,2.803,106.430
2018-03-18,109.798,157.294,50.018,19.649,1.179,26.737,30.008,45.568,1.231,112.091
2018-03-19,106.831,152.541,41.290,18.564,1.418,25.760,35.415,57.246,7.226,107.436
2018-03-20,110.070,135.147,45.153,22.176,1.144,38.422,31.654,52.303,4.999,104.609
2018-03-21,93.539,145.742,40.656,16.293,0.888,26.153,32.376,83.439,5.733,98.623
2018-03-22,107.777,150.321,25.981,18.281,1.202,31.947,36.999,66.727,3.980,104.181
2018-03-23,112.477,173.434,33.114,20.607,0.875,31.089,40.916,82.569,6.174,114.892
2018-03-24,121.521,160.213,45.379,17.503,0.622,22.505,35.053,61.622,4.884,117.900
2018-03-25,105.621,141.373,41.333,23.345,1.418,36.763,32.471,35.392,0.904,103.489
2018-03-26,103.359,159.658,49.448,29.345,1.374,33.922,35.508,57.797,7.176,109.466
2018-03-27,105.864,139.384,43.226,16.229,1.340,16.096,37.776,79.322,2.792,103.392
2018-03-28,117.243,165.733,32.266,11.674,1.591,31.942,36.836,41.646,1.534,114.795
2018-03-29,112.583,150.234,33.631,9.991,1.000,24.589,43.214,35.473,1.160,108.088
2018-03-30,105.739,154.037,40.823,19.248,0.771,37.680,32.846,49.766,5.903,107.246
2018-03-31,114.099,168.250,21.488,16.684,1.179,19.882,35.754,53.334,5.780,111.822
2018-04-01,110.776,142.128,53.388,21.039,1.096,27.505,39.647,48.375,5.751,108.704
2018-04-02,117.747,141.026,43.534,20.663,0.947,32.534,39.458,38.114,7.368,109.888
2018-04-03,104.370,149.148,49.816,11.984,1.176,30.380,29.145,45.050,3.117,106.893
2018-04-04,107.345,165.345,27.355,10.926,1.017,35.341,34.979,70.937,4.708,108.747
2018-04-05,106.801,139.734,49.957,21.480,0.649,19.371,39.433,53.156,5.146,105.312
2018-04-06,98.192,126.562,57.852,20.677,1.068,41.563,43.639,67.953,7.846,98.635
2018-04-07,112.222,150.317,29.433,17.871,0.859,33.676,37.062,62.178,2.843,107.093
2018-04-08,111.886,160.281,46.171,11.714,1.269,39.518,33.829,62.943,7.672,113.262
2018-04-09,109.774,166.692,40.009,22.357,1.003,36.120,31.884,44.913,1.616,112.896
2018-04-10,107.784,149.972,27.645,26.359,1.533,29.919,41.543,61.293,6.230,104.412
2018-04-11,98.255,150.394,43.943,21.390,1.681,21.011,37.046,31.416,5.247,103.035
2018-04-12,106.123,165.941,46.669,15.763,1.404,26.055,32.285,55.905,6.627,112.178
2018-04-13,106.647,135.589,35.191,20.223,0.735,41.127,34.187,64.357,0.715,101.038
2018-04-14,102.862,150.275,49.327,13.169,1.652,39.698,35.691,40.920,1.086,106.379
2018-04-15,107.873,155.928,26.666,25.290,1.673,25.663,36.353,45.394,1.023,106.048
2018-04-16,112.271,158.370,28.042,20.409,1.206,10.272,31.981,43.172,4.947,109.255
2018-04-17,123.994,148.623,41.093,11.159,1.597,28.511,32.792,34.233,5.022,114.802
2018-04-18,110.158,153.900,40.203,18.497,1.034,27.986,29.628,50.871,7.296,109.290
2018-04-19,110.671,128.496,34.267,22.317,0.640,28.252,37.656,88.738,4.007,100.738
2018-04-20,107.855,146.610,46.477,18.335,0.972,33.700,33.459,51.233,1.010,107.206
2018-04-21,92.933,157.532,44.247,18.621,1.719,36.133,35.827,57.632,2.071,102.575
2018-04-22,107.894,142.968,46.865,13.878,0.753,36.932,38.636,69.185,0.561,106.211
2018-04-23,108.404,153.165,39.015,22.833,1.200,33.120,34.967,68.910,6.325,107.954
2018-04-24,127.435,156.819,44.821,16.758,1.210,17.395,33.904,86.994,6.617,119.727
2018-04-25,105.989,148.690,36.435,9.218,1.046,27.612,34.758,81.454,7.985,104.888
2018-04-26,109.731,153.576,56.431,18.144,1.067,46.129,34.296,77.637,3.591,112.224
2018-04-27,106.823,141.990,33.500,24.906,1.222,32.620,37.772,87.098,0.645,102.708
2018-04-28,97.526,149.288,56.842,18.065,1.031,32.575,34.891,43.846,2.260,104.918
2018-04-29,115.784,157.184,40.279,28.690,0.773,32.516,32.247,67.023,4.908,113.103
2018-04-30,112.416,152.370,28.996,22.145,1.265,32.908,36.944,83.232,7.715,107.718
2018-05-01,112.479,144.644,50.945,21.694,1.522,13.318,37.409,67.448,1.277,109.822
2018-05-02,98.619,152.452,41.007,19.358,1.461,28.323,29.616,88.645,1.412,103.247
2018-05-03,116.852,157.047,46.809,19.659,0.957,29.735,38.142,36.021,5.763,114.902
2018-05-04,94.143,129.084,49.791,18.683,0.825,38.970,34.547,56.360,5.504,95.755
2018-05-05,109.773,160.848,42.704,18.489,1.115,30.334,34.209,88.642,2.379,111.681
2018-05-06,122.314,145.560,35.262,22.654,1.670,18.474,36.283,52.774,6.599,111.878
2018-05-07,96.572,152.834,47.806,15.321,1.394,33.011,31.464,74.373,1.466,103.697
2018-05-08,99.664,160.199,40.006,14.621,1.411,24.373,35.927,31.824,7.443,105.893
2018-05-09,104.683,134.150,45.487,14.384,1.467,21.483,31.832,71.690,2.008,101.684
2018-05-10,99.542,140.403,22.770,30.228,1.326,24.161,28.432,86.078,1.110,96.446
2018-05-11,90.841,144.235,43.576,22.652,1.236,33.798,29.756,52.962,3.046,97.406
2018-05-12,103.465,138.899,34.891,21.522,1.399,38.811,34.340,31.278,1.909,100.380
2018-05-13,94.082,163.693,53.226,14.712,1.036,33.381,29.690,31.675,4.452,106.794
2018-05-14,106.025,137.375,44.985,23.117,0.776,34.424,37.242,83.521,5.651,103.222
2018-05-15,94.531,139.979,41.919,19.417,1.417,33.311,35.863,73.351,4.182,97.643
2018-05-16,113.930,147.163,43.890,21.071,1.571,30.709,36.177,36.401,5.455,109.892
2018-05-17,94.901,132.674,32.012,15.117,0.865,34.879,32.430,33.275,3.237,93.655
2018-05-18,98.222,140.308,52.986,20.801,1.447,13.069,32.706,78.290,0.709,101.801
2018-05-19,106.931,147.002,55.931,17.881,1.704,30.778,28.227,78.592,7.805,108.752
2018-05-20,90.195,140.054,43.143,16.172,1.199,22.686,34.668,37.231,6.646,95.742
2018-05-21,101.474,141.997,52.723,23.671,0.955,38.140,32.691,48.091,1.051,103.881
2018-05-22,109.719,137.179,35.447,12.311,1.237,28.970,33.122,76.802,3.869,103.102
2018-05-23,86.003,126.862,33.623,22.824,1.035,30.217,36.353,61.525,5.263,87.785
2018-05-24,99.936,144.751,40.327,23.422,1.015,19.464,29.335,87.395,1.929,101.459
2018-05-25,100.128,158.606,43.480,15.602,1.330,37.118,30.638,58.864,4.835,106.342
2018-05-26,103.888,140.757,36.848,15.898,0.719,34.391,31.858,70.617,4.502,101.541
2018-05-27,87.318,142.335,44.302,18.885,0.767,33.899,27.931,60.587,2.062,95.220
2018-05-28,86.224,146.513,42.451,21.410,1.206,24.309,30.033,86.578,1.559,95.556
2018-05-29,100.533,126.390,32.014,19.236,1.193,24.585,31.931,53.920,6.192,94.586
2018-05-30,98.298,155.601,44.150,22.168,1.303,31.565,29.331,43.788,2.919,104.659
2018-05-31,97.486,140.085,46.908,28.815,1.763,25.139,34.088,49.598,2.330,100.150
2018-06-01,97.809,153.862,41.372,17.461,1.231,33.044,25.480,81.167,6.034,103.337
2018-06-02,89.148,129.689,49.221,11.424,1.379,14.874,33.231,59.876,6.021,93.325
2018-06-03,95.993,154.671,30.261,24.130,0.907,26.587,31.695,51.255,2.573,100.450
2018-06-04,96.022,143.708,43.744,28.417,1.430,42.577,27.853,62.656,7.044,99.872
2018-06-05,87.501,140.949,30.638,21.964,1.042,33.076,26.632,37.994,5.662,92.162
2018-06-06,107.676,137.215,31.087,14.561,1.221,31.168,23.009,30.322,3.093,101.220
2018-06-07,96.071,131.842,34.953,19.381,1.167,43.897,26.708,46.835,3.706,94.579
2018-06-08,82.277,145.781,32.464,14.407,1.510,13.648,32.077,66.300,5.950,91.366
2018-06-09,96.584,134.623,35.616,23.214,0.807,24.293,28.609,72.701,2.087,95.802
2018-06-10,83.054,112.989,38.287,13.244,0.515,27.192,32.106,79.597,4.016,83.081
2018-06-11,96.665,120.925,46.697,18.499,1.136,36.008,26.597,85.600,5.402,93.949
2018-06-12,99.151,129.671,37.431,14.978,1.341,36.130,30.415,54.727,4.546,95.963
2018-06-13,82.828,134.059,27.315,20.634,1.246,23.938,25.979,74.431,5.062,87.094
2018-06-14,96.608,129.819,49.121,18.168,1.570,36.986,25.070,34.480,4.597,97.074
2018-06-15,91.709,141.998,33.303,20.884,1.331,27.177,27.481,33.452,1.994,95.115
2018-06-16,94.486,109.717,39.530,20.112,1.031,38.481,25.642,37.488,3.577,88.064
2018-06-17,102.585,130.082,43.572,15.067,0.502,22.772,22.842,56.914,4.490,99.031
2018-06-18,84.946,109.881,41.597,23.134,1.129,29.137,26.756,42.677,6.350,83.757
2018-06-19,80.376,135.070,48.753,19.756,1.508,26.569,27.455,47.215,5.404,90.460
2018-06-20,78.784,125.939,43.832,15.057,1.082,37.392,30.772,68.873,3.699,85.940
2018-06-21,78.867,130.488,33.110,31.205,1.208,26.341,29.608,51.511,7.808,85.202
2018-06-22,84.267,117.059,57.428,22.382,1.326,29.703,30.288,63.442,1.308,88.737
2018-06-23,87.103,137.898,41.555,19.234,0.895,33.548,28.619,54.744,2.051,93.232
2018-06-24,86.076,134.923,38.821,27.076,1.387,33.817,27.285,40.138,3.060,91.279
2018-06-25,89.967,129.744,47.711,29.209,1.691,36.209,22.430,34.441,2.214,93.449
2018-06-26,82.940,122.014,41.996,19.273,1.148,31.478,26.395,44.174,5.191,86.473
2018-06-27,93.950,128.507,43.194,21.737,0.861,27.072,27.564,33.462,0.797,94.166
2018-06-28,79.689,115.039,59.937,15.060,1.180,27.552,29.974,67.117,1.831,86.344
2018-06-29,103.052,130.061,37.799,19.264,0.533,30.180,27.489,77.743,2.700,98.104
2018-06-30,85.780,137.398,37.458,19.005,1.301,31.747,28.979,50.384,5.625,91.601
2018-07-01,73.401,131.007,40.933,20.924,1.336,28.970,21.990,53.227,7.069,84.189
2018-07-02,71.175,112.403,48.572,21.664,1.703,30.134,23.935,78.971,6.489,79.023
2018-07-03,83.085,122.711,27.948,22.799,1.142,19.379,26.030,43.357,1.866,83.945
2018-07-04,76.922,105.563,24.276,21.188,1.323,34.671,28.053,37.150,4.741,74.985
2018-07-05,83.906,123.616,35.303,13.946,0.942,31.268,23.962,60.067,0.725,86.098
2018-07-06,81.464,121.798,26.929,15.308,1.093,37.013,23.979,68.771,2.829,82.657
2018-07-07,76.581,97.993,36.601,17.268,0.742,30.001,26.116,65.979,6.545,75.009
2018-07-08,69.876,104.474,44.020,18.589,1.142,17.831,20.506,72.832,3.925,75.084
2018-07-09,64.019,112.662,32.874,25.254,1.108,27.491,28.535,33.405,1.625,72.383
2018-07-10,72.054,111.888,28.585,14.185,1.290,28.600,20.905,55.692,3.789,75.311
2018-07-11,81.967,102.207,40.555,18.213,1.013,35.200,17.616,44.314,1.985,79.757
2018-07-12,76.320,117.598,46.900,24.765,1.225,15.508,23.233,75.547,3.449,82.819
2018-07-13,64.134,115.631,26.440,18.501,1.100,30.288,28.129,82.364,4.159,72.044
2018-07-14,74.980,110.584,46.562,22.302,1.101,33.596,24.624,46.880,3.122,79.978
2018-07-15,76.173,104.381,46.538,19.302,1.224,25.370,24.950,35.713,7.527,78.709
2018-07-16,65.518,121.841,47.633,21.284,1.212,30.522,22.654,45.206,4.719,78.838
2018-07-17,73.320,127.326,49.748,18.858,1.428,25.611,21.906,36.241,6.822,84.807
2018-07-18,72.059,105.356,57.616,23.335,1.164,24.893,17.563,49.345,6.205,79.159
2018-07-19,61.955,103.493,37.151,12.275,1.095,27.141,15.255,62.292,5.459,69.456
2018-07-20,73.469,113.953,40.877,18.183,1.146,25.025,22.458,88.421,4.227,79.096
2018-07-21,74.604,104.890,36.668,21.483,0.986,34.785,25.644,53.962,0.516,76.103
2018-07-22,78.296,106.510,40.016,22.668,1.092,24.855,22.576,43.202,5.101,79.104
2018-07-23,77.579,114.737,52.263,27.465,1.809,23.680,23.254,40.008,3.170,83.663
2018-07-24,57.647,87.687,29.240,18.045,0.926,42.376,25.974,40.382,1.383,60.978
2018-07-25,60.690,119.407,33.112,27.397,1.116,36.725,22.050,41.556,3.835,72.789
2018-07-26,71.840,106.399,51.017,16.705,1.084,16.969,20.538,75.736,6.017,78.043
2018-07-27,71.360,101.010,48.160,26.643,1.126,24.647,18.294,33.662,7.713,75.615
2018-07-28,70.905,103.690,37.095,24.087,1.101,31.697,26.661,89.844,3.306,73.978
2018-07-29,97.145,103.668,46.835,15.433,1.284,32.266,22.021,61.361,4.570,89.040
2018-07-30,70.432,86.197,42.730,21.535,0.687,19.567,17.458,62.656,6.884,69.621
2018-07-31,74.496,117.930,52.002,19.744,1.511,38.110,16.624,51.454,3.005,83.028
2018-08-01,72.595,102.870,40.596,23.128,1.390,35.777,23.747,71.415,1.567,75.278
2018-08-02,69.729,106.368,48.205,18.884,0.827,33.373,16.727,58.287,2.614,76.416
2018-08-03,61.556,110.940,61.136,18.464,0.519,39.497,25.254,49.744,7.243,76.287
2018-08-04,69.715,90.705,44.785,26.845,0.907,33.166,11.278,45.908,1.695,71.026
2018-08-05,57.030,105.149,40.395,19.506,1.127,33.140,23.672,85.539,2.969,68.139
2018-08-06,60.892,97.242,45.780,24.132,1.974,40.904,20.723,47.459,3.985,68.775
2018-08-07,58.484,107.895,37.078,18.873,1.363,37.709,19.478,56.184,6.853,69.026
2018-08-08,62.606,77.671,59.104,28.333,0.658,24.109,18.457,51.020,7.533,66.425
2018-08-09,80.059,97.474,41.441,16.608,0.993,34.432,24.519,35.171,3.694,77.560
2018-08-10,46.199,91.965,37.817,16.929,1.184,25.350,20.834,41.156,7.490,58.252
2018-08-11,66.228,101.851,33.314,27.623,1.276,33.529,15.870,41.370,1.711,70.332
2018-08-12,47.444,101.770,48.778,17.775,0.806,33.336,13.292,71.619,1.676,64.008
2018-08-13,56.183,89.542,46.937,28.005,1.160,20.316,18.851,54.395,7.619,64.341
2018-08-14,68.288,89.051,36.021,24.459,0.985,29.147,18.189,76.918,4.323,68.064
2018-08-15,59.716,94.629,44.612,19.227,0.869,31.857,13.508,72.537,1.894,67.169
2018-08-16,50.211,86.338,27.932,10.934,1.278,26.946,17.778,41.523,4.160,56.593
2018-08-17,52.747,103.301,41.480,19.903,1.432,32.203,16.101,63.775,6.374,65.660
2018-08-18,63.550,90.773,43.622,20.508,1.452,35.641,17.732,74.575,6.702,67.731
2018-08-19,51.920,64.987,53.659,25.836,1.372,29.786,19.766,67.983,6.980,56.188
2018-08-20,59.152,89.908,33.833,27.942,1.051,31.572,21.951,66.001,4.772,63.315
2018-08-21,57.448,82.878,29.773,16.575,1.414,39.684,20.088,74.377,7.002,59.542
2018-08-22,51.541,76.566,32.837,24.006,1.293,33.312,15.087,33.407,4.325,55.308
2018-08-23,73.582,80.128,29.307,23.827,1.240,31.406,18.250,73.885,5.053,66.691
2018-08-24,61.186,93.228,50.693,25.367,1.016,23.293,17.227,46.359,6.190,68.700
2018-08-25,39.604,105.060,52.389,22.493,1.051,34.697,12.939,64.312,3.691,61.798
2018-08-26,56.995,94.553,42.562,10.288,1.222,32.311,18.029,44.538,1.052,65.376
2018-08-27,49.915,85.013,49.770,19.223,1.932,38.986,22.306,80.329,3.126,60.415
2018-08-28,61.742,95.302,41.072,14.221,1.290,30.328,16.738,58.834,5.180,67.676
2018-08-29,48.302,85.825,39.239,18.987,1.017,17.286,11.765,68.576,1.942,57.747
2018-08-30,53.452,83.153,37.336,24.900,0.950,18.099,16.548,77.645,1.613,59.139
2018-08-31,58.146,78.246,37.517,21.526,1.052,35.150,12.727,83.719,2.698,60.050
2018-09-01,60.775,71.972,27.618,25.740,1.853,26.009,18.874,73.924,0.741,57.503
2018-09-02,43.997,85.300,42.114,21.709,1.080,33.057,17.774,38.926,6.076,56.012
2018-09-03,50.682,90.499,39.677,13.508,1.472,30.800,15.607,81.272,2.440,60.426
2018-09-04,49.325,87.679,45.963,7.396,1.087,28.832,15.048,67.115,1.432,60.159
2018-09-05,47.673,84.223,40.748,20.744,1.278,29.325,15.330,66.567,5.743,57.253
2018-09-06,66.805,78.671,38.698,18.930,1.438,23.942,15.919,85.280,6.822,64.744
2018-09-07,55.712,93.967,33.030,15.115,1.028,29.890,13.507,44.930,0.649,62.652
2018-09-08,42.184,74.479,40.577,11.497,1.008,25.909,11.594,44.375,2.252,51.551
2018-09-09,59.421,95.185,45.906,16.326,1.698,27.394,19.109,60.792,7.589,67.447
2018-09-10,68.871,77.187,30.853,19.028,1.495,27.734,14.475,75.052,3.389,63.762
2018-09-11,59.977,79.479,40.700,23.329,1.437,28.413,16.074,56.834,7.539,61.972
2018-09-12,39.394,72.139,41.864,20.943,1.436,36.455,16.372,68.033,2.557,49.712
2018-09-13,47.516,81.607,34.255,28.040,1.338,29.091,16.429,57.151,2.136,55.091
2018-09-14,61.374,96.198,35.297,14.822,1.805,37.166,11.891,66.623,2.106,66.606
2018-09-15,45.435,91.435,41.845,24.405,1.213,40.765,10.338,79.336,1.139,58.517
2018-09-16,54.512,95.906,30.933,20.236,1.373,35.985,13.555,40.829,7.223,62.215
2018-09-17,57.034,91.197,42.799,23.473,0.765,33.741,16.466,71.723,7.849,64.436
2018-09-18,43.304,74.803,32.837,17.817,0.953,32.288,13.056,77.246,7.659,50.660
2018-09-19,50.135,82.406,48.503,25.358,0.840,36.058,14.139,56.827,6.890,59.490
2018-09-20,24.582,77.796,58.703,21.476,1.582,30.626,21.553,49.394,6.852,47.370
2018-09-21,42.226,98.798,33.114,16.603,0.434,36.892,9.604,30.813,5.458,57.375
2018-09-22,48.319,73.428,44.274,19.940,1.079,34.299,12.848,77.826,6.697,55.043
2018-09-23,40.284,94.248,34.186,18.802,0.302,27.481,20.779,49.676,2.063,55.254
2018-09-24,63.262,94.166,48.328,22.446,0.951,36.271,14.934,51.439,3.409,69.546
2018-09-25,38.706,103.468,29.878,14.101,1.053,30.640,12.931,50.160,5.306,56.369
2018-09-26,46.580,81.020,43.845,19.853,1.615,29.257,18.540,59.924,7.061,56.365
2018-09-27,51.108,92.196,33.016,21.977,1.319,26.667,15.187,72.150,5.454,59.816
2018-09-28,61.564,107.856,38.344,20.165,0.950,31.162,13.966,76.312,6.793,70.807
2018-09-29,38.527,78.839,31.752,26.735,1.520,36.975,15.582,53.554,4.055,49.266
2018-09-30,59.308,69.653,46.579,23.870,1.205,36.223,13.027,69.786,5.880,59.865
2018-10-01,50.082,66.200,33.304,19.963,1.211,32.474,11.948,73.241,7.850,51.562
2018-10-02,42.155,92.135,44.416,21.083,0.839,34.198,14.662,47.815,1.651,57.601
2018-10-03,53.719,66.195,37.247,21.478,0.903,38.902,11.975,35.797,7.452,54.168
2018-10-04,51.639,81.332,39.084,22.016,0.952,28.950,15.048,83.680,4.418,58.036
2018-10-05,45.279,89.467,41.182,10.872,1.214,22.192,16.090,70.627,5.324,57.716
2018-10-06,50.681,86.995,33.905,18.492,1.223,39.108,17.600,68.887,7.084,58.220
2018-10-07,47.091,89.457,41.683,12.578,1.663,26.292,18.442,33.534,3.572,58.719
2018-10-08,51.141,87.495,52.243,26.391,1.316,25.168,13.861,79.072,3.640,62.268
2018-10-09,55.599,98.141,33.775,19.696,0.388,17.427,16.599,63.963,4.454,63.997
2018-10-10,63.068,75.920,49.374,19.033,1.279,33.999,16.604,80.873,0.643,64.185
2018-10-11,40.563,78.773,51.985,24.484,0.765,18.650,16.139,88.474,4.225,54.311
2018-10-12,67.625,77.928,33.471,22.112,0.910,24.748,13.749,87.426,2.683,63.885
2018-10-13,35.048,94.077,28.360,14.357,0.956,34.118,12.137,81.365,7.460,51.419
2018-10-14,49.563,94.910,42.416,19.645,1.001,35.053,16.765,30.657,1.158,61.738
2018-10-15,55.605,90.560,35.621,18.324,0.787,25.438,10.179,83.144,3.945,62.094
2018-10-16,53.276,98.034,54.949,11.277,1.261,29.061,14.539,34.504,7.606,67.038
2018-10-17,46.185,74.580,40.278,16.549,0.777,23.892,7.728,81.072,7.258,53.522
2018-10-18,49.648,103.204,33.582,19.082,1.307,26.161,11.428,46.810,5.760,62.502
2018-10-19,47.524,101.945,30.823,19.425,1.871,31.864,12.858,66.604,4.920,60.510
2018-10-20,46.917,94.260,48.719,12.589,0.801,26.488,18.834,32.284,2.605,61.481
2018-10-21,58.601,104.923,35.431,25.758,1.115,28.290,17.666,76.271,3.252,67.864
2018-10-22,54.841,70.749,40.351,19.489,0.443,19.747,14.000,36.702,1.176,56.715
2018-10-23,46.630,82.292,47.646,20.188,1.110,37.931,17.913,54.641,6.396,57.532
